Common Name,Official Name,Country Code
Afghanistan,Islamic Republic of Afghanistan,AF
Australia,Commonwealth of Australia,AU
Bangladesh,People's Republic of Bangladesh,BD
Bhutan,Kingdom of Bhutan,BT
Brunei,"Nation of Brunei, Abode of Peace",BN
Cambodia,Kingdom of Cambodia,KH
China,People's Republic of China,CN
Fiji,Republic of Fiji,FJ
India,Republic of India,IN
Indonesia,Republic of Indonesia,ID
Iran,Islamic Republic of Iran,IR
Japan,Japan,JP
Kazakhstan,Republic of Kazakhstan,KZ
Kiribati,Republic of Kiribati,KI
Kyrgyzstan,Kyrgyz Republic,KG
Laos,Lao People's Democratic Republic,LA
Malaysia,Malaysia,MY
Maldives,Republic of Maldives,MV
Marshall Islands,Republic of the Marshall Islands,MH
Micronesia,Federated States of Micronesia,FM
Mongolia,Mongolia,MN
Myanmar (Burma),Republic of the Union of Myanmar,MM
Nauru,Republic of Nauru,NR
Nepal,Federal Democratic Republic of Nepal,NP
New Zealand,New Zealand,NZ
North Korea,Democratic People's Republic of Korea,KP
Pakistan,Islamic Republic of Pakistan,PK
Palau,Republic of Palau,PW
Papua New Guinea,Independent State of Papua New Guinea,PG
Philippines,Republic of the Philippines,PH
Samoa,Independent State of Samoa,WS
Singapore,Republic of Singapore,SG
Solomon Islands,Solomon Islands,SB
South Korea,Republic of Korea,KR
Sri Lanka,Democratic Socialist Republic of Sri Lanka,LK
Taiwan,Republic of China (Taiwan),TW
Tajikistan,Republic of Tajikistan,TJ
Thailand,Kingdom of Thailand,TH
Timor-Leste (East Timor),Democratic Republic of Timor-Leste,TL
Tonga,Kingdom of Tonga,TO
Turkmenistan,Turkmenistan,TM
Tuvalu,Tuvalu,TV
Uzbekistan,Republic of Uzbekistan,UZ
Vanuatu,Republic of Vanuatu,VU
Vietnam,Socialist Republic of Vietnam,VN
